[pattern]	lhsText	rhsText	w	gsw	meanSim	greedySim	phrasePair	notSure	isInWordnet	extentionLevel	pairIndex	text	hypothesis	lhsDrs	rhsDrs
[v--vn]	dancing-v-5	standing-v-5 on-r-6 one-n-7 leg-n-8	0.0	0.0	0.410993	0.410993	dance-vb : stand-vb dobj-#1# on-in pobj-#2# leg-nn #2# #1#	0	Phrasal	1	1	a young girl is dancing	a young girl is standing on one leg	drs([[]:x201],[[100005]:pred(x201,dance,v,0)])	drs([[]:x201,[]:x201,[]:xir,[]:xir,[]:xir],[[200005]:pred(x201,stand,v,0),[200006]:rel(x201,xir,on,0),[200008]:pred(xir,leg,n,0),[200007]:pred(xir,one,n,0)])
[vn--v]	falling-v-4 off-r-5 in-r-8 water-n-10	riding-v-4	0.0	0.0	0.803318	0.855141	fall-vb : ride-vb	1	Phrasal	1	2	a man is falling off a surfboard in the water	a surfer is riding the wave	drs([[]:x201,[]:x201,[]:x201,[]:x103,[]:x103],[[300004]:pred(x201,fall,v,0),[300005]:pred(x201,off,r,0),[300008]:rel(x201,x103,in,0),[300010]:pred(x103,water,n,0)])	drs([[]:x201],[[400004]:pred(x201,ride,v,0)])
[n--n]	surfboard-n-7	wave-n-6	0.0	0.0	0.517665	0.517665	surfboard-nn : wave-nn	1	NotInWN	1	2	a man is falling off a surfboard in the water	a surfer is riding the wave	drs([[]:x102],[[300007]:pred(x102,surfboard,n,0)])	drs([[]:x102],[[400006]:pred(x102,wave,n,0)])
[n--n]	man-n-2	surfer-n-2	0.0	0.0	0.708757	0.708757	man-nn : surfer-nn	1	NotInWN	1	2	a man is falling off a surfboard in the water	a surfer is riding the wave	drs([[]:x101],[[300002]:pred(x101,man,n,0)])	drs([[]:x101],[[400002]:pred(x101,surfer,n,0)])
[vnn--vnn]	man-n-2 walking-v-4 in-r-5 rain-n-7	it-n-1 raining-v-3 on-r-4 walking-n-6 man-n-7	1.0	1.0	-1	-1	#FAIL#	0	Phrasal	1	3	a man is walking in the rain	it is raining on a walking man	drs([[]:x201,[]:x201,[]:x102,[]:x102,[]:x101],[[500004]:pred(x201,walk,v,0),[500005]:rel(x201,x102,in,0),[500007]:pred(x102,rain,n,0),[500002]:pred(x101,man,n,0)])	drs([[]:x101,[]:x101,[]:x102,[]:x101,[]:x102,[]:x201,[]:x201,[]:x101],[[600001]:pred(x101,thing,n,12),[]:rel(x101,x102,of,0),[600007]:pred(x101,man,n,0),[600006]:pred(x102,walking,n,0),[600003]:pred(x201,rain,v,0),[600004]:rel(x201,x101,on,0)])
[vnn--vn]	dog-n-3 approaching-v-5 golden-a-7 on-r-9 pebbly-a-10	playing-v-4 on-r-5 rocky-a-7	0.0	0.0	0.855633	0.779656, 0.745402	golden-jj : rocky-jj, approach-vb nsubj-#1# dog-nn #1# dobj-#2# on-in #2# : play-vb dobj-#1# on-in #1#	1	Phrasal	1	4	a white dog is approaching a golden dog on pebbly beach	two dogs are playing on a rocky beach	drs([[]:x102,[]:x103,[]:x102,[]:x201,[]:x102,[]:x201,[]:x102,[]:x103],[[700009]:rel(x102,x103,on,0),[700003]:pred(x102,dog,n,0),[]:rel(x201,x102,patient,0),[700005]:pred(x201,approach,v,0),[700007]:pred(x102,golden,a,0),[700010]:pred(x103,pebbly,a,0)])	drs([[]:x201,[]:x201,[]:x103,[]:x103],[[800004]:pred(x201,play,v,0),[800005]:rel(x201,x103,on,0),[800007]:pred(x103,rocky,a,0)])
[n--n]	white-a-2	two-n-1	0.0	0.0	-2	-2	#FAIL#	1	NotInWN	1	4	a white dog is approaching a golden dog on pebbly beach	two dogs are playing on a rocky beach	drs([[]:x101],[[700002]:pred(x101,white,a,0)])	drs([[]:x101],[[800001]:pred(x101,two,n,0)])
[n--n]	woods-n-11	wooded-a-10 area-n-11	1.0	1.0	0.413388	0.413388	wood-nn : wooded-jj amod-#1# area-nn #1#	0	Phrasal	1	5	a man and a woman are walking together through the woods	a man and a woman are walking through a wooded area	drs([[]:x104],[[900011]:pred(x104,wood,n,0)])	drs([[]:x104,[]:x104],[[1000011]:pred(x104,area,n,0),[1000010]:pred(x104,wooded,a,0)])
[n--n]	carrot-n-6	potato-n-2	0.0	0.0	0.916318	0.916318	carrot-nn : potato-nn	0	NotInWN	1	6	a woman is slicing a carrot	a potato is being sliced by a woman	drs([[]:x102],[[1100006]:pred(x102,carrot,n,0)])	drs([[]:x102],[[1200002]:pred(x102,potato,n,0)])
[vnrn--vrrn]	little-a-2 boy-n-3 looks-v-6 fearful-a-7 on-r-10 wall-n-13	wall-n-7 artificially-r-8 built-v-9 for-r-10	0.0	0.0	0.81191	0.807691, 0.705537, 0.68812	on-in pobj-#1# wall-nn #1# : wall-nn, look-vb acomp-#1# fearful-jj #1# : build-vb dobj-#1# for-in #1#, fearful-jj : artificially-rb	1	Phrasal	1	7	a little boy , who looks fearful , is on a climbing wall .	a boy is climbing up a wall artificially built for climbing and is attached to a rope	drs([[]:x101,[]:x101,[]:x102,[]:x102,[]:x201,[]:x301,[]:x101,[]:x201,[]:x101,[]:x101,[]:x201],[[1300003]:pred(x101,boy,n,0),[1300010]:rel(x101,x102,on,0),[1300013]:pred(x102,wall,n,0),[]:rel(x201,x301,theme,0),[1300002]:pred(x101,little,a,0),[]:rel(x201,x101,agent,0),[1300007]:pred(x101,fearful,a,0),[1300006]:pred(x201,look,v,0)])	drs([[]:X203,[]:x102,[]:X201,[]:X202,[]:X201,[]:X201,[]:x102,[]:x102,[]:X201],[[]:rel(X203,x102,patient,0),[1400010]:rel(X201,X202,for,0),[1400008]:pred(X201,artificially,r,0),[]:rel(X201,x102,patient,0),[1400007]:pred(x102,wall,n,0),[1400009]:pred(X201,build,v,0)])
[vnrn--vnnrv]	little-a-2 boy-n-3 looks-v-6 fearful-a-7 on-r-10 wall-n-13	boy-n-2 up-r-5 wall-n-7 for-r-10 climbing-v-11	0.0	0.0	0.663658	0.807691, 0.674677, 0.450869, 0.260638	on-in pobj-#1# wall-nn #1# : wall-nn, fearful-jj : boy-nn, little-jj amod-#1# boy-nn #1# : climb-vb, look-vb acomp-#1# fearful-jj #1# : for-in	1	Phrasal	1	7	a little boy , who looks fearful , is on a climbing wall .	a boy is climbing up a wall artificially built for climbing and is attached to a rope	drs([[]:x101,[]:x101,[]:x102,[]:x102,[]:x201,[]:x301,[]:x101,[]:x201,[]:x101,[]:x101,[]:x201],[[1300003]:pred(x101,boy,n,0),[1300010]:rel(x101,x102,on,0),[1300013]:pred(x102,wall,n,0),[]:rel(x201,x301,theme,0),[1300002]:pred(x101,little,a,0),[]:rel(x201,x101,agent,0),[1300007]:pred(x101,fearful,a,0),[1300006]:pred(x201,look,v,0)])	drs([[]:X203,[]:x102,[]:x101,[]:X203,[]:x101,[]:xir,[]:X202,[]:X202,[]:xir,[]:xir,[]:x102,[]:X203,[]:x102,[]:X203,[]:X202],[[]:rel(X203,x102,patient,0),[1400002]:pred(x101,boy,n,0),[]:rel(X203,x101,agent,0),[1400010]:rel(xir,X202,for,0),[]:rel(X202,xir,agent,0),[]:rel(xir,x102,patient,0),[1400011]:pred(X203,climb,v,0),[1400007]:pred(x102,wall,n,0),[1400005]:pred(X203,up,r,0),[1400011]:pred(X202,climb,v,0)])
[nvn--vnnrv]	little-a-2 boy-n-3 fearful-a-7 on-r-10 climbing-v-12 wall-n-13	boy-n-2 up-r-5 wall-n-7 for-r-10 climbing-v-11	1.0	1.0	0.548842	0.674677, 0.450869, 0.249426	fearful-jj : boy-nn, little-jj amod-#1# boy-nn #1# : climb-vb, on-in pobj-#1# climb-vb amod-#2# wall-nn #2# #1# : wall-nn	1	Phrasal	1	7	a little boy , who looks fearful , is on a climbing wall .	a boy is climbing up a wall artificially built for climbing and is attached to a rope	drs([[]:x101,[]:x101,[]:x102,[]:x102,[]:x202,[]:x102,[]:x202,[]:x101,[]:x101],[[1300003]:pred(x101,boy,n,0),[1300010]:rel(x101,x102,on,0),[1300013]:pred(x102,wall,n,0),[]:rel(x202,x102,agent,0),[1300012]:pred(x202,climb,v,0),[1300002]:pred(x101,little,a,0),[1300007]:pred(x101,fearful,a,0)])	drs([[]:X203,[]:x102,[]:x101,[]:X203,[]:x101,[]:xir,[]:X202,[]:X202,[]:xir,[]:xir,[]:x102,[]:X203,[]:x102,[]:X203,[]:X202],[[]:rel(X203,x102,patient,0),[1400002]:pred(x101,boy,n,0),[]:rel(X203,x101,agent,0),[1400010]:rel(xir,X202,for,0),[]:rel(X202,xir,agent,0),[]:rel(xir,x102,patient,0),[1400011]:pred(X203,climb,v,0),[1400007]:pred(x102,wall,n,0),[1400005]:pred(X203,up,r,0),[1400011]:pred(X202,climb,v,0)])
